JOB PROFILE,TOOLS
jr. systems administrator,"customer service, hardware, help desk, lan, networking, security, systems administrator, wan"
lead data scientist,"pattern recognition, machine learning, spark/hadoop, python, mongodb, sql - pattern recognition, machine learning, spark/hadoop, python, mongodb, sql"
advanced analytics enablement,"apache, architecture, case, consulting, development, manager, management, powerpoint, supply chain"
insurance aae big,"architecture, business intelligence, consulting, data mining, development, excel, hadoop, html, http, ibm, informatica, management, modeling, mongodb, nosql, powerpoint, recruiter, research, ups, video"
hcm successfactors onboarding,"agile, analysis, consulting, development, manager, management, project, project management, sap, testing"
sap mdm bods,sap mdm bods mm
web methods principal,provide guidance on how to activate and configure site specific settings for my webmethods for webmethods version 9.7
it senior project,"project manager, cyber security, infrastructure, agile, scrum"
remote azure cloud,"togaf,azure,architect,cloud,infrastructure,cloud computing and virtualization"
sr penetration tester,"cissp, tester, testing"
"sap pp, mm","consulting, crm, development, excel, html, http, lifecycle, manager, management, project, project manager, recruiter, research, sap, supply chain, testing"
controls engineer  ,"packaging, plc, programming"
junior software engineer,"qt, matlab, 2d, 3d, c++, python"
fullstack c# .net,"c# .net, asp.net mvc, asp.net web forms, javascript, entity framework, sql server, html, css - c# .net, asp.net mvc, asp.net web forms, javascript, entity framework, sql server, html, css"
cyberarc configuration and,"agile, consulting, development, java, management, powershell, programming, python, scrum, windows', 'cyber ark or cyberark and windows powershell scripting and python scripting"
senior .net developer,"asp.net, mvc, sql, c#, sharepoint, html/ css/javascript/jquery/ajax - asp.net, mvc, sql, c#, sharepoint, html/ css/javascript/jquery/ajax"
expert business analyst,"analyst, architecture, business analyst, business requirements, database, development, erp, exchange, manager, metrics, oracle, pl/sql, programming, project, research, shell scripting, sql, testing, unix"
ssrs sql developer,ssrs
full stack javascript,"javascript, html, css, angularjs', 'javascript', 'sdlc javascript angularjs dojo jquery html css restful c# soap sql arcgis"
portal developement using,"eclipse , idea intellij, maven , jira"
sap ibp manager,"ariba, consulting, crm, development, excel, html, http, lifecycle, manager, management, project, project manager, recruiter, research, sap, supply chain, testing"
sap material master,"sap material master data migration, excel, lsmw, etl, access, mm"
java developer (technical,"java developer (technical support engineer), support engineer, escalation engineer,hadoop, nosql, java developer,xml"
oracle solutions architect,oracle solutions architect business intelligence
sap ariba -,"ariba, consulting, crm, development, excel, html, http, lifecycle, manager, management, project, project manager, recruiter, research, sap, supply chain, testing"
sourcing manager  ,"procurement, sourcing, negotiation, contract negotiation, sourcing methodology, supply chain, strategic supply chain, financial, quantitative, analytical skills."
"electronic warfare analyst,","analysis, analyst, architecture, avionics, civil, consulting, development, ethernet, hardware, management, research, risk management, security"
p&s sales support,"consulting, crm, database, development, excel, management, metrics, outlook, powerpoint, research, sales, salesforce"
human resources -,"analysis, analytical skills, database, excel, manager, management, ms office, project, project management, research, supervision"
mapr admin  ,"hadoop, mapr"
.net software developer,".net, java, javascript, redis, elasticsearch, sql server, html, css, javascript, ext js, jquery, rest-ful apis, mvc, aws, git, teamcity, octopus deploy, selenium, jasmine, and msbuild', '.net, c#, software developer', 'sql, my sql, perl, bootstrap, full stack, c#, .net, html5, microsoft visual studio, angularjs', '.net, java, javascript, redis, elasticsearch, sql server, html, css, javascript, ext js, jquery, rest-ful apis, mvc, aws, git, teamcity, octopus deploy, selenium, jasmine, and msbuild"
digital content management,"marketing process, marketing performance assessment"
it recruitment consultant,"customer service, http, manager, management, video"
.net architect direct,".net, agile, architecture, asp, asp.net, database, developer, development, director, jquery, management, multi-tier architecture, programming, project, project management, python, sql"
cloud integration architect-engineer,"cloud, multi-tenant, automation, orchestration,configuration, scripting,github, ec2,security, network, self healing architecture"
senior systems engineer,"aspera, telestream, digital rapids, amberfin, baton, rhozet, ipv, harmonic, singniant, aws-ec2, awc-s3, aws-lambda, aws-cloudformation, cloudhealth, powershell, perl, python, bash, linux"
adobe cq5 consultant,"adobe cq5, java / j2ee, jcr, apache sling, wcm, dam, cqse, crx, extjs, web content management and java script"
digital manager  ,"adobe, content management, css, graphics, http, manager, management, project, project management, qa, testing"
sap master data,"sap master data, sap, data governance, data quality, sap erp master data"
product manager -,"product management, audio, video, web conferencing"
angular js and,we need angular and .net combo person they will hire on the spot.
mobile native applications,"mobile tester, native app testing, api web driver, alm, java, scrum', 'mobile tester, native app testing, api web driver, alm, java, scrum"
mysql engineer /,"architecture, database, database administration, dba, linux, mongodb, mysql, mysql, nosql, project, python"
sr.project manager  ,"project manager, sdlc, agile, scrum', 'program management, delivery, technical projects, enterprise architecture"
sr. product /,"create and critically review application / software threat models,software security vulnerabilities prioritization using models as dread and stride,administering software-centric security controls"
sap mm/wm consultant,"sap wm, sap mm, sap pp"
svp risk management,"accounting, analytical skills, architecture, automated, director, excel, management, risk management"
aae blockchain senior,"agile, analysis, android, architecture, business requirements, c++, consulting, development, excel, html, http, ios, java, management, powerpoint, recruiter, research, switches, testing, ux"
webmethods principal consultant,consulting
sales operations business,"analysis, analyst, business analyst, business intelligence, crm, data analysis, data modeling, development, director, excel, hub, management, metrics, modeling, project, sales, salesforce"
sap vc with,"consulting, crm, development, excel, html, http, lifecycle, manager, project, project manager, recruiter, research, sap, supply chain, testing"
retail enterprise application,"adobe, architecture, automotive, b2b, b2c, business requirements, consulting, content management, db2, development, e-commerce, ecommerce, http, ibm, ios, j2ee, java, lifecycle, manager, management, nosql, oracle, project, testing, tibco"
oracle ebs apps,"oracle ebs r12 with the following modules: accounts payable, purchasing, i-procurement, general ledger, fixed assets, project accounting, and webcenter imaging for accounts payable"
delivery transformation manager,"agile, change management, hub, manager, management, materials, pmp, project, project management, scrum"
c# .net developer,c# .net ssis
mid-level software developer,".net, asp, asp.net, c#, crystal reports, css, developer, development, javascript, oracle, programming, sql, sql server, vb, windows, xml"
jde distribution analyst,"jde, jd edwards, enterpriseone, enterprise one, distribution - jde, jd edwards, enterpriseone, enterprise one, distribution"
responsive designer  ,"adobe, css, development, html, web design"
test automation architect,"test automation architect black box testing integration, service, ui testing - understanding of testing pyramid tdd and bdd"
emc hybrid cloud,emc hybrid cloud
ivr developer  ,"ivr development, vxml, j2ee, osgi,team meeting', 'ivr periphonics,periproducer,mps 1000', 'gvp, genesys, nice, ""ivr"" , ""cti""', 'gvp, genesys, nice, ""ivr"" , ""cti""', 'ivr developer, avaya orchestration designer, ivr unit testing, java, dialog designer"
rockstar software engineer,".net, ado, agile, asp, asp.net, c#, configuration management, database, database administration, developer, development, development manager, foundation, html, http, ibm, informatica, java, javascript, manager, management, programming, project, protocol, scrum, smtp, soap, software engineer, sql, sql server, vb, xml, xslt"
network system engineer,"""network system engineer"", ""mobility ran"", ""oss systems"""
sap pm -,"ariba, consulting, crm, development, excel, html, http, lifecycle, management, recruiter, research, sap, supply chain, testing"
software quality assurance,"software quality assurancew engineer, sqa, sql, unix, linux, load/ performance, manual testing"
mainframe/nonstop system administrator,"cics, configuration management, db2, hardware, ibm, ims, jcl, linux, management, recruiter, supervision, system administrator, tso, unix, vm, windows"
middleware sys admin,"analysis, apache, development, embedded, iis, linux, management, middleware, networks, protocols, recruiter, security, supervision, sys admin, testing, tibco, unix, web server, websphere, windows, xml"
security engineer i,"symantec dlp,manipulating,reporting data,system scanning"
"systems administrator, mid","analysis, cabling, capacity planning, ccna, ccnp, cissp, consulting, dns, hardware, http, networking, protocols, security, ssl, surveillance, systems administrator, tcp/ip, vmware, windows"
sr. net developer,"c#.net, vb.net"
senior internal auditor,"accounting, excel, hub, manager, management, risk management, testing, test plan"
global sales account,"development, lan, manager, management, networking, sales, security, telecom, video, wan, wireless"
.net/jee application architect,".net/jee application architect, togaf 9 certification, technical leadership/guidance/mentorship, solution architectures, sql server/oracle, bi/reporting, open source, cloud/soap/rest, togaf/zachman"
senior software developer,"microservices, tdd, nunit, angularjs, c#, asp.net, react, azure/aws - microservices, tdd, nunit, angularjs, c#, asp.net, react, azure/aws"
python developer needed,"css, developer, development, javascript, lifecycle, linux, management, multi-threaded, programming, python, software engineer, tcp/ip, testing, unix"
client growth manager,"hub, manager, management, sales, salesforce"
business analyst consultant,"accounting, analysis, analyst, business analyst, business requirements, consulting, development, management, project, project management, testing"
sap retail with,"consulting, crm, development, excel, html, http, lifecycle, manager, project, project manager, recruiter, research, sap, supply chain, testing"
java/javascript consultant  ,"java, javascript, 8-10 years experience"
sr.software engineer -,"agile, apache, development, foundation, hadoop, java, programming, recruiter, software engineer, solr"
technical change management,"analysis, change management, consulting, development, excel, html, http, jd edwards, lifecycle, management, materials, ms office, oracle, peoplesoft, powerpoint, project, recruiter, research, sap, salesforce, siebel"
sales/account executive ninja,"customer service, development, networking, project, sales, security"
ui java developers-,"spring,java,angularjs,ui"
account executive -,"adobe, analysis, analyst, case, consulting, development, director, excel, html, http, management, ms office, recruiter, research, sales, salesforce"
peoplesoft system admin,"peoplesoft system admineoplesoft technologies: sqr, peopletools 8.53+, application designer, integration broker, xml publisher, datamover, portal and crystal reports. having oracle ses technology know"
c++ engineer with,"strong in c++, c,multithreading, stl, gstreamer"
adobe cq5 developer,"adobe cq5, java, jcr, apache sling, apache felix', 'adobe cq5, java, jcr, apache sling, apache felix"
backbase developer  ,"backbase 5.4, targeting, publishing architecture, mashup services, widget development', 'backbase 5.4, java spring hibernate', 'backbase,backbase cpx', 'npm angularjs , jquery ,require js, json-lib, xom', 'backbase 5.4,targeting, publishing architecture, mashup services, widget development', 'java, j2ee, spring, rest, jboss, tomcat, eclipse, jira, maven', 'should have knowledge about portal manager services , content services and integration services.', 'java,backbase 5.4 technology, j2ee, spring, json, rest api, jboss, tomcat"
fsi asset management,"agile, architecture, consulting, development, excel, html, http, lifecycle, manager, management, powerpoint, project, recruiter, research"
communications specialist  ,"b2b, development, manager, management, release, video"
.net developer (,"c#, asp.net, vb.net and wcf, web api, activex, msmq and angular js"
sap program manager,sap project manager
"manager, service delivery,","accounting, analysis, analytical skills, architecture, benchmark, defect management, development, exchange, hardware, lifecycle, manager, management, metrics, project, project management, qa, release, research, salesforce, scheduling, security, testing, windows"
infrastructure specialist  ,"infrastructure specialist - aix/unix aix/unix server engineer with caching and data grid experience', 'active directory, exchange, packaging, sccm, gpos, group policy, windows os"
merchant support specialist,"customer service', 'customer service"
bi delivery lead,"agile, analysis, analyst, business analyst, business intelligence, business requirements, cognos, data analysis, database, developer, development, management, project, qa, release, risk management, sdlc, supervision"
mdm developer  ,"mdm, etl, soa, web services, sam, repository manager, data manager, merge, idq objects, informatica, power center, idd, sql"
business architect with,"business , systems architecture, skype experience as enterprise level and office 365 administration exp."
social engagement manager,"analysis, crm, development, manager, management, materials, programming, project, project management, research, sales"
remote hadoop system,"hadoop, cloudera, spark, impala, kafka, aws, devops/ sysops - hadoop, cloudera, spark, impala, kafka, aws, devops/ sysops"
advanced analytics enablement,"architecture, business intelligence, consulting, data mining, development, hadoop, lifecycle, management, modeling, mongodb, nosql, powerpoint, project, research, ups, video', 'architecture, business intelligence, consulting, data mining, development, hadoop, lifecycle, management, modeling, mongodb, nosql, powerpoint, project, research, ups, video"
operations implementation manager,"business requirements, development, hub, manager, management, metrics, pmp, project, project management, project manager, scrum, validation"
learning asset graphic,"graphic designer, learning asset, technical concept illustrations"
lead java engineer,"java, voip, sip, j2ee, git, telecommunications, cloud - java, voip, sip, j2ee, git, telecommunications, cloud"
security engineer consultant,security engineer consultant
sr. java engineer,"experience developing java web applications, sql queries, hibernate, soap, supply chain management, rest - experience developing java web applications, sql queries, hibernate, soap, supply chain management, rest"
systems engineer iv,"windows, windows server, windows servers, active directory, iis, scom, sccm, cluster server, sql server, tmg, microsoft, mcsa, mcse, system engineering, systems engineering, design, deploy, implement"
sap ewm -,"ariba, consulting, crm, development, excel, html, http, lifecycle, management, recruiter, research, sap, supply chain, testing"
front end web,"c#, .net, php - c#, .net, php"
peoplesoft hcm functional,expertise in peoplesoft benefits administration. expertise in additional hcm modules strongly desired. **nationwide - candidates can live anywhere in us**
business system analyst,jad and java application analysis.
sap technical writer,"sap,ms office , sap software"
operations analyst with,"operations analyst, change management, hp service manager, servicenow"
software implementation consultant,"software implementation, supply chain, warehouse management, order management, sql"
office 365 migration,microsoft office 365 migration active directory exchange
application administrator  ,"filenet, java, .net', 'perl, linux, system administration, devops, sql, pl/sql, oracle, python, troubleshooting, etl, bash', 'tad pgs, inc. specializes in delivering secure, reliable and rapidly implemented workforce solutions to the u.s. federal marketplace, including u.s. government agencies and their prime contractors. wi', 'perl, linux, system administration, devops, sql, pl/sql, oracle, python, troubleshooting, etl, bash"
"sap technical writer,","technical writer, sap"
security systems-supervisor  ,"understanding of intrusion detection systems, electronic access control, cctv, ip video, surveillance systems, fire alarm and life safety systems"
senior java developer,"jsf2.1, hibernate, jpa 2.1, and ejb 3.1"
sr jd edwards,"jd edwards functional analysis, solutions architecture, design, jd edwards enterpriseone, sql, jde e1, jde cnc"
wireless solutions architect,"wireless, architect, ccnp, cisco, consult', 'juniper, cisco wireless, meraki, lan/wan"
application support developer,"degree, pl/sql, java, unix, linux"
information security analyst,"discovering emerging threats, understanding indicators of compromise and attacks, network and host forensics, firewall concepts, malware analysis"
technical business analyst,"business analysis, project management, sql, agile, adlc, waterfall, degree"
qa engineer -,"agile, automated, automotive, database, development, e-commerce, ecommerce, manager, programming, qa, sql, testing"
tableau consultant -,"business analyst, tableau, data analytics, travel"
data architect /,"data architect, data modeling, teradata, informatica, oracle, unix, erwin"
technical implementation project,"this role is responsible for planning, coordinating, and successful implementation of all interfaces required for the new georgia gateway system."
embedded c/c++ developers,"embedded, qnx, linux"
security electronics technician,"3+ years experience working hands-on in electronics', 'intrusion detection systems, electronic access control, cctv, ip video"
director of financial,"excel, powerpoint, dash boarding, hyperion, oracle, database administration and other relevant technical applications"
java architect -,"core java, spring, hibernate, soap, mysql, insurance"
node.js developer  ,"node.js, javascript, angular"
application engineer -,"systems programming, snmp, windows, linux, cisco , sql, html, css, solarwinds/orion, appdynamics , powershell"
ibm streams developer,"ibm streams, infostreams, spl, ibm infosphere streams"
"senior director, enterprise","agile, api, architecture, automotive, development, director, hadoop, java, management, nosql, security"
lead cloud software,"cloud, agile, java, jvm, restful, sdlc, high availability, dr, replication, c#, c++, scala, go, clojure, spring, apache, node.js, hbase, phoenix, apache storm, kafka, solr, aws, azure, heroku"
business analyst identity,refer to job description
web/.net developer  ,"angularjs, tfs, asp.net, javascript, html, xml"
data modeler-data virtualization,"data modeling, data virtualization, jboss data virtualization, jboss dv, denodo"
sr ux designer,"adobe, business requirements, css, javascript, jquery, management, project, project management, research, ux"
salesforce project manager,"salesforce, project manager', 'salesforce pm, service cloud projects,', 'salesforce, project manager, implementation"
product data specialist,"degree, excel"
ui business analyst,"ms project, ajax, drupal and java, uat"
big data analyst,"oracle, rac, unix, pl/sql, linux"
mainframe engineer  ,"refer to job description', 'mainframe engineer"
full time w2,"w2 only for permanent position, python, java and/or scala, hadoop, mapreduce spark, hive, pig, mysql, and/or postgres, machine learning, predictive modeling"
technical/it recruiter  ,"it staffing, technology recruiting, it recruiting, sales, technology, staffing, recruiter, sourcing"
lead enterprise (windows),lead enterprise (windows) engineer position
industrialization engineer  ,sql; t-sql; scrum methodology
encryption engineer  ,design and assist in testing changes/additions to the encryption infrastructure.
senior security engineer,"analysis, architecture, automated, automotive, developer, development, dns, http, j2ee, java, javascript, lifecycle, management, networks, oracle, security, sox, sql, tcp/ip, unix, windows"
network engineer (6,"ccna, lan/wan, cisco, firewalls, voip, degree"
websites developer with,"sharepoint server 2010, 2013, 12016, html, css, javascript, jquery, bootstrap, drupal"
.net developer w/,"vb.net. vb6, sql"
network analyst ii,"mcsa, mcse, or ccna, tcp/ip, cisco"
oracle odi developer,"oracle, odi, sql"
"senior architect (.net,","(.net, j2ee)"
oracle functional financial,"oracle payables, oracle expenses, cash management, accounts payable, a/p, fusion"
"architect/lead developer/c#, asp.net,","architect/lead developer / c#, asp.net, sql server, html5, css3, ajax, jquery"
qa automation engineer,"quality assurance expertise, selenium, scripting experience, api testing"
senior web developer,"javascript, nodejs, development', 'javascript, nodejs, development"
qnx testing consultant,"python, robot framework, qnx, c++"
senior it systems,five years professional level analyst and systems experience in a large scale information technology environment.
production support/ java,"java, debugging, testing,xml,sql"
hortonworks hadoop consultant,looking for hortonworks consultant
embedded software tester,"c++,infotainment"
two great plains,as per detailed job description.
instructional designer -,"instructional designer, course management, authoring tool, design principles, degree"
peoplesoft implementation /project,peoplesoft implementation /project manager
junior quality analyst,"retail, jira, testrails, html, apple ios testing"
sr. sharepoint application,"sharepoint 2013, .net/ c#, sql server 2008-2012, sharepoint designer, napa & powershell"
solution architect/network architect,virtualization networking vpn ipv security cloud switch
peoplesoft core benefits,peoplesoft core benefits functional consultant
developer iii  ,".net, ado, architecture, asp, asp.net, developer, development, html, http, oop, sql, sql server, vb, xml, xslt"
sr. oracle business,see job overview.
project manager (fare,"""project manager"""
account executive /,account executive
desktop deployment technician,"deployment, technician, desktop, imaging, pc"
skype administrator  ,skype
field technician (telecommunications/voip),"""field support experience; telecommunications installation experience; experience supporting voip/ip telephony/um/etc.; experience in network design, implementation & management; valid driver's license"""
scrum master -,scrum master
oracle apps financial,"oracle financial techno functional - r12 gl, ap, ar, fa,cm, pa"
agile lead  ,"agile, automotive, development, e-commerce, manager, management, project, project management, release, scrum"
enterprise infrastructure architect,"infrastructure architect, cloud, vmware. iaas/paas, togaf', 'vmware network networking ""data center"" datacenter migration citrix virtualization"
oracle apps technical,oracle apps r12 technical
need automation tester,"c#.net,selenium,sql,visual studios"
security engineer  ,"ccsa, snpa, ccsp, windows, linux, solaris, checkpoint, f5, itil"
tableau developer (client,"tableau, business intelligence, data warehouse"
java developer with,"jsf2.1, hibernate, jpa 2.1, ejb 3.1"
successfactor onboarding /,must have experience in successfactors compensation management
java developer--extreme programming,"java, extreme programming, pair programming, agile, agile methodology, full stack"
workday academic advisment,significant he experience in academic advisement- workday certification preferred. note: candidates can live anywhere in us - 50% travel / 50% remote role
senior core java,"java, networking, oracle, unix/linux"
project director  ,"experience of managing federal contracts for 10 years or more, jira, cms, eplc"
project manager (fare,"integration experience with on-board & off-board its technologies (on-board & off-board the transit systems)', 'transport experience,automated fare collection systems in a public transit environment,10+ years experience , project manager"
sr. ui architect,"github, node.js, npm, gulp, gradle, jenkins, concourse, sonar"
google cloud developer,"bigquery, dataflow, java, python , google cloud sdk & api scripting"
claims customer service,"customer service, call center, csr, claims"
sr. devops /,"devops, puppet, chef, windows, ha, cluster, active directory, apache, jboss, tomcat, scripting, java, .net, powershell, bash, git, jenkins, maven,netapp, san, nas, f5, azure, aws, openstack, cisco"
.net developer /,"c#, asp.net mvc, sql server, javascript"
informatica mdm lead,"informatica mdm, idq, hub, master data management, informatica architect, informatica mdm lead developer, etl developer data warehouse etl source target integration, informatica mdm, idq, hub, master"
softeon wms  ,softeon wms
"java developer, c-2-h,","java, javascript"
arcsight administrator  ,"arcsight administrator siem wan data center incident response', 'arcsight administrator"
sr project manager,enterprise it services management
webmaster    ,"webmaster', 'html, css, javascript, jquery and bootstrap"
siteminder security analyst,"siteminder, single sign-on, web access management"
mid-level developer  ,"mid-level developer, c#, sql, asp.net"
c# developer (api),".net, web api. restful, sql, oo principles and design"
peoplesoft hcm functional,experience as a functional lead on peoplesoft hcm implementations in a higher ed environment; this is a nationwide position-candidates can live anywhere in u.s.
enterprise infrastructure solution,"togaf 9.1, infrastructure, , cloud technologies, vmware subject matter expertise', 'azure cloud, infrastructure"
senior mobile software,"android, automotive, development, e-commerce, iterative, iterative development, java, object oriented programming, oop, programming, software engineer"
senior java developer,"java, cloud, angular, degree"
need qa/testing trainers/performance,qa/ testing trainers/ performance test/ selenium /hp-qtp quick test
ui developer -,"ui developer, javascript, html5, css3, degree"
malware engineer  ,"splunk, threat research', 'splunk, threat research"
software engineer -,"java,c#,php,javascript,node,angular,ember,react"
oracle drm technical,"specialist in oracle drm, experience leading a team"
senior software engineer,"ui technologies, agile, software development, b.s. in computer science, java programming"
c#.net developer  ,"c#, c++, .net, ood, java, db2, oracle, sql server, wpf, wcf, soap, rest, tfs, telerik, kendo', 'c#, .net, xml, sql', 'c#, .net, xml, web services, sql"
c# developer (junior,"c#, .net, asp.net, degree, oracle, sql"
data analyst /sas,"sas, data analyst, tableau"
mainframe engineer -,esp ops/mvs mvs z/os jes console smf rmf zvm
enterprise network manager,"cisco, tcp/ip"
big data architect,"cloud, hadoop, storm, spark, mapreduce"
full stack java,javascript html css c# restful soap sql
performance architect  ,"analysis, application servers, architecture, automotive, browsers, capacity planning, development, diagnostic, e-commerce, hardware, http, java, linux, modeling, networks, perl, programming, project, python, security, supervision, tcp/ip, testing, unix, vm', 'automation architect. selenium, java, dev ops, ci, bdd"
senior back end,"degree, java, linux, restful, nosql, spring"
hp non-stop engineer,"prior experience with tacl macro programming, spooler, netbatch, fup, tcpip, listener & ssh are required."
qc - microbiology,individual should have 2-6 years of experience in a qc microbiology role.
sql application support,"sql, ssis, ssrs, database, application"
java automation engineer,"excellent coding skills in java, sdet, automation testing, ood, core code in java, development and/or test automation experience, unix/linux environment, git, maven, hudson/jenkins, sonar"
business change lead,"change management, agile/waterfall, contract management, training"
qlikview developer -,"""qlikview"" ""qliksense"" ""developer"""
developer ii  ,"agile, business intelligence, database, data warehouse, developer, development, hadoop, http, management, project, scrum, shell scripting, sql, sql server"
lead technical analyst,"analysis, analyst, architecture, bmc, business requirements, capacity planning, database, development, excel, http, java, lifecycle, linux, management, project, scientific, supervision"
vmware sme -,vmware sme esxi - 6.0
filenet administrator &,"filenet, java, .net, degree"
application architect -,ood design paterns mvvm mv gof .net uml domain models use cases activity diagrams class diagrams state models sequence diagrams
sales systems engineer,"vmware, tcp/ip, windows server, iis, software, document, workflow, solutions"
b.i. supply chain,ssis ssas ssrs
analytics etl developer,"ssis, sql server 2016, tableau, qlik, r, python, javascript, etl, powerbi, aws, azure"
lead c# developer,"c#, restful"
fiber strategy owner,"fiber optic, strategy, product, sales, marketing"
.net architect  ,"master data analyst', 'asp.net, c#, javascript, json, sql', '.net architect - asp.net, c#, html, css, iss, ajax, javascript, jquery, json, sql server', '(vb.net),html, asp.net, razor mvc, javascript, angularjs, jquery, sql, c#', 'mortgage domain."
hadoop admin with,hadoop admin with security exp - fte - ga
oracle applications support,"analysis, analyst, automotive, change management, development, management, oracle, quality assurance, testing"
forgerock implementation consultant,"forgerock, sso"
automation engineer- soapui,"soapui pro, sql, vbscript, qtp, uft"
security engineer -,"degree, system engineering, identity management, siteminder"
dynamics ax scm,"dynamics ax 2009 supply chain, scm, finance"
urgent - need,strong testing experience in oracle identity manager 11gr2 ps2
itsm manager  ,itsm manager
network automation engineer,"python, arista, cisco, junos, netconf', 'scripting (python preferred), linux, understanding of networking', 'automation, python, dev-ops"
senior esri/javascript api,esri/javascript api developer
java/ui/fullstack developer  ,"java, j2ee, spring"
chief technologist  ,"agile, analysis, business requirements, crm, customer service, development, director, e-commerce, ecommerce, erp, hardware, http, lifecycle, management, php, programming, project, project management, protocols, research, ruby, sales, sdlc, security, ssl, testing"
lead c# developer,".net, c#, object-oriented programming, asp.net, mvc, sql"
angular/ruby on rails,"ruby, angular"
director of enterprise,"leadership, application architecture, .net"
senior network engineer,"nexus/asr/aci, netscaler or f5, cisco callmanager, unity connections,cisco ucce, asa or juniper or checkpoint, vpn, dmvpn,mpls', 'the virginia department of state police is seeking qualified applicants for a senior network engineer in the information & communication technologies division located in north chesterfield, virginia.', 'nexus/asr/aci, netscaler or f5, cisco callmanager, unity connections,cisco ucce, asa or juniper or checkpoint, vpn, dmvpn,mpls"
lead cognos developer,cognos
sr. .net developer,.net/xamarin/mobile development
senior application support,"sql server, application support, 24/7"
html5 / angular.js,"angualr.js, node.js, mongodb, html, css and javascript, restful api, docker"
full time project,"develops and executes program work plans and revises as appropriate to meet changing needs and requirements, pmo methodologies and enforces program standards"
peoplesoft manager -,"peoplesoft, sql', 'peoplesoft, sql"
training specialist  ,"training specialist, training, trainer, captivate, articulate, adobe, addie, a.d.d.i.e., lms, design, designer, develop, developer, instructional designer, instructional developer"
business intelligence(bi) developer,sr. business intelligence(bi) developer with tableau
senior java &,"java, spring, devops, cloud, ruby, python"
penetration tester/ethical hacker,ts clearance needed
amdocs consultant  ,"amdocs', 'amdocs"
technical/pega architect  ,"architect, pega, pegasystems, unix, mysql, oracle, websphere, certified, batch processing, shell scripting, banking"
ui developer (angular),"ui development, angularjs, html, css, jquery, ajax, agile, scrum"
scm - devops,"chef, conluence, devops, jenkins, jira, linux. python, svnx"
associate software engineer,".net, agile, asp, asp.net, automotive, css, development, e-commerce, html, http, iterative, iterative development, javascript, jquery, management, scrum, software engineer, sql, sql server, testing', 'associate software engineer"
system/network engineer iii,"network engineering, systems engineering, lan, wan, ccna, ccnp, mcse, cisco, windows server, exchange, sql, sharepoint, vmware, voip"
sr security automation,"rocana, kafka, hadoop, python, scripting, automation, automated, automate, etl, ""go programming"", devops"
sap fscm  ,"sap fscm, financial module"
gc processing -,"h1 transfer, gc processing, java, project manager, qlikview, android, ios, etl, big data, ui, java', 'h1 transfer, gc processing, java, project manager, qlikview, android, ios, etl, big data, ui, java"
architect-enterprise    ,"agile, architecture, automotive, development, management, modeling, project"
product software architect,"embedded software development, real-time embedded environment, analyzing designs & source code, team lead exp"
mac developer -,"mac, objective-c, cocoa"
peoplesoft developer -techno-functional,"peoplesoft ap, functional analyst, deployment, ibm cognos reporting, tmi turbointegrator"
physical and logical,oracle dba
solutions consultant  ,"solutions consultant, meeting facilitation, portfolio management', 'big data, hadoop, data management solutions, pre-sales, technical sales, product engineering, etl, rdbms, replication, cloud technology"
backbase developer  ,backbase developer
sap basis manager,"sap and basis and (""basis lead"" or ""basis manager"" or ""basis architect"")"
dotnet lead /architect,"c#, asp.net, sql server, html5, css3, ajax, jquery"
jr sql database,"database, development, disaster recovery, foundation, powershell, sales, scripts, security, sql, sql server, vbscript, windows"
webmethods principal consultant,"webmethods principal consultant', 'webmethods version 9.7"
java developers and,"""ajax"",""angular js"",""jquery"",""bootstrap"""", restular js"","" jquery"","" bootstrap"","" rest"",""css"",""html"",""json"",""mvc"""
lead php developer,"lead, php, lamp, mvc framework, jquery, mysql, zend framework"
business analyst /,"retail industry experience, specifically in supply chain, warehouse management is a must !!"
mdm business analyst,"mdm, master data management"
mobileiron consultant  ,"4+ yrs mdm exp, 2+ yrs w/ mobileiron, licenses reconciliation, experience developing recommendations in regards to application software packages, application integration, and testing tools."
peoplesoft payroll with,peoplesoft payroll functional consultant direct hire role
sr oracle apps,"""oracle application dba, ebs 12.2, oracle apps r12/r12.1.x/r12.2.4, oem12c/13c, 10g/11g/12c rac/asm db's"""
oracle web center,oracle web admin
senior nodejs application,"nodejs, rest, api"
peoplesoft administrator  ,"peoplesoft systems administrator, peopletools, hcm"
.net architect for,"""asp. net"", ""c#"", ""html"", ""iis"", ""javascript"", ""json"", ""microsoft sql server"""
documentum    ,documentum
data center operations,"data center, operations management, linux, windows"
senior data architect,"data governance', 'data warehouse, sql server, data dictionary', '(erwin) and (""data architect"") and (""physical model"") and (warehouse) and (etl), in (oh) within 40 miles of 43040', '(erwin) and (""data architect"") and (""physical model"") and (warehouse) and (etl), in (oh) within 40 miles of 43040', 'exceptional communication skills, strong documentation skills, knowledge and experience with new and upcoming data platforms (hadoop, teradata, etc.)"
java full stack,"php, mvc, mysql, html, javascript, jquery, json, xml, restful web services"
bi analyst -,"bi analyst, qlikview, sql, data modeling, healthcare"
business intelligence developer,"qlikview, ssis, ssrs, dashboards"
senior c# developer,"c#, winforms, sql, t-sql, degree"
senior engineer-system  ,"automated, automotive, bash, bmc, change management, development, git, java, linux, management, perl, php, programming, python, ruby, security, systems admin, version control, vmware, vsphere"
